routine;undefined;condition;routine_tims_ms
Write data;-;default;2741.68
Write data;-;default;2752.994
Write data;-;default;2763.617
Write data;-;default;2775.028
Write data;-;default;2786.053
Write data;-;default;2796.985
Write data;-;default;2807.954
Write data;-;default;2819.707
Write data;-;default;2830.339
Write data;-;default;2843.178
Write data;-;default;2853.602
Write data;-;default;2863.971
Write data;-;default;2875.146
Write data;-;default;2886.016
Write data;-;default;2896.97
Write data;-;default;2908.248
Write data;-;default;2919.619
Write data;-;default;2930.522
Write data;-;default;2943.016
Write data;-;default;2953.001
Write data;-;default;2963.776
Write data;-;default;2975.134
Write data;-;default;2986.094
Write data;-;default;2997.221
Write data;-;default;3008.409
Write data;-;default;3019.28
Write data;-;default;3030.179
Write data;-;default;3041.593
Write data;-;default;3052.606
Write data;-;default;3063.854
Write data;-;default;3074.927
Write data;-;default;3085.993
Write data;-;default;3096.907
Write data;-;default;3108.267
Write data;-;default;3119.182
Write data;-;default;3130.649
Write data;-;default;3141.702
Write data;-;default;3152.941
Write data;-;default;3163.772
Write data;-;default;3174.855
Write data;-;default;3185.861
Write data;-;default;3197.169
Write data;-;default;3208.083
Write data;-;default;3219.767
Write data;-;default;3230.422
Write data;-;default;3241.487
Write data;-;default;3253.187
Write data;-;default;3263.601
Write data;-;default;3274.978
Write data;-;default;3286.131
Write data;-;default;3297.074
Write data;-;default;3308.121
Write data;-;default;3319.418
Write data;-;default;3330.466
Write data;-;default;3341.452
Write data;-;default;3353.615
Write data;-;default;3363.774
Write data;-;default;3374.985
Write data;-;default;3385.891
Write data;-;default;3397.335
Write data;-;default;3408.286
Write data;-;default;3423.225
Write data;-;default;3433.701
Write data;-;default;3443.63
Write data;-;default;3453.626
Write data;-;default;3463.897
Write data;-;default;3475.203
Write data;-;default;3486.423
Write data;-;default;3497.119
Write data;-;default;3508.127
Write data;-;default;3519.594
Write data;-;default;3530.674
Write data;-;default;3541.467
Write data;-;default;3553.326
Write data;-;default;3563.719
Write data;-;default;3575.134
Write data;-;default;3586.152
Write data;-;default;3597.114
Write data;-;default;3608.564
Write data;-;default;3619.693
Write data;-;default;3630.395
Write data;-;default;3641.297
Write data;-;default;3652.829
Write data;-;default;3664.121
Write data;-;default;3674.766
Write data;-;default;3686.279
Write data;-;default;3697.355
Write data;-;default;3708.365
Write data;-;default;3719.249
Write data;-;default;3730.628
Write data;-;default;3741.347
Write data;-;default;3753.256
Write data;-;default;3763.891
